id,DRAFTID,CombineID,Year,Name,FirstName,LastName,Position,HeightInchesTotal,HeightFeet,HeightInches,Weight(LBS),ArmLength(Inches),HandsSize(Inches),FortyYardDash,TwentyYardDashSplit,TenYardDashSplit,TwentyYardShuttle,ThreeConeDrill,VerticalJump,BroadJump,BenchPressReps,DraftRound,College,PickRound,PickTotal,Wonderlic
8962,,ZiggyAnsah2013,2013,Ziggy Ansah,Ziggy,Ansah,DE,77.25,6,5.25,271,35.125,10.25,4.63,,1.56,4.26,7.11,34.5,118,21,,,,,
8963,20137233,DavidBass20137,2013,David Bass,David,Bass,DE,75.75,6,3.75,262,33.5,10.5,4.84,,1.67,4.33,7.07,30.5,110,20,7,Missouri Western,27,233,
8964,20137217,ArmontyBryant20137,2013,Armonty Bryant,Armonty,Bryant,DE,76.125,6,4.125,263,35.75,9.75,4.86,,1.66,5,7.32,31.5,118,,7,East Central Oklahoma,11,217,
8965,,MikeBuchanan2013,2013,Mike Buchanan,Mike,Buchanan,DE,77.125,6,5.125,255,34,9.875,4.78,,1.59,4.44,6.91,33,113,22,,,,,
8966,,TankCarradine2013,2013,Tank Carradine,Tank,Carradine,DE,76,6,4,276,34.75,10.25,4.75,,1.63,,,,,28,,,,,
8967,2013252,JamieCollins20132,2013,Jamie Collins,Jamie,Collins,DE,75,6,3,250,33.75,9.75,4.64,,1.56,4.32,7.1,41.5,139,19,2,Southern Miss,20,52,
8968,20135142,LavarEdwards20135,2013,Lavar Edwards,Lavar,Edwards,DE,75.75,6,3.75,277,35.5,10,4.8,,1.64,4.51,7.03,33,119,,5,LSU,9,142,
8969,20134126,WilliamGholston20134,2013,William Gholston,William,Gholston,DE,78,6,6,281,34,10.375,4.96,,1.73,4.59,7.2,28.5,110,23,4,Michigan State,29,126,
8970,20134127,MalliciahGoodman20134,2013,Malliciah Goodman,Malliciah,Goodman,DE,75.625,6,3.625,276,36.375,11,4.87,,1.65,,,31,114,26,4,Clemson,30,127,
8971,2013253,MargusHunt20132,2013,Margus Hunt,Margus,Hunt,DE,80.25,6,8.25,277,33.75,10,4.6,,1.62,4.51,7.07,34.5,121,38,2,Southern Methodist,21,53,
8972,20135162,BrandonJenkins20135,2013,Brandon Jenkins,Brandon,Jenkins,DE,74,6,2,251,33.25,9.25,5.07,,,,,,,18,5,Florida State,29,162,
8973,2013126,DatoneJones20131,2013,Datone Jones,Datone,Jones,DE,76.25,6,4.25,283,32.75,10,4.8,,1.63,4.32,7.32,31.5,112,29,1,UCLA,26,26,
8974,201313,DionJordan20131,2013,Dion Jordan,Dion,Jordan,DE,78.25,6,6.25,248,33.875,10,4.6,,1.57,4.35,7.02,32.5,122,,1,Oregon,3,3,
8975,20137212,JoeKruger20137,2013,Joe Kruger,Joe,Kruger,DE,78,6,6,269,34.375,10,4.83,,1.75,4.46,7.17,34,117,24,7,Utah,6,212,
8976,2013388,CoreyLemonier20133,2013,Corey Lemonier,Corey,Lemonier,DE,75,6,3,255,34.5,10.125,4.6,,1.57,4.4,7.14,33,119,27,3,Auburn,26,88,
8977,20135153,StanslyMaponga20135,2013,Stansly Maponga,Stansly,Maponga,DE,74,6,2,256,34.125,10,4.81,,,4.37,7.3,,,30,5,TCU,20,153,
8978,201316,BarkeviousMingo20131,2013,Barkevious Mingo,Barkevious,Mingo,DE,76,6,4,241,33.75,9.625,4.58,,1.55,4.39,6.84,37,128,,1,LSU,6,6,
